Compensation,Education,Title,Company_Size,Gender,Count
"5,000 to 7,499",Master's degree,Business Analyst,"1000-9,999 employees",Male,1
"5,000 to 7,499",Master's degree,Business Analyst,250-999 employees,Male,2
"5,000 to 7,499",Master's degree,Business Analyst,0-49 employees,Male,1
"5,000 to 7,499",Master's degree,Statistician,0-49 employees,Male,1
"5,000 to 7,499",Master's degree,Data Analyst,"> 10,000 employees",Male,5
"5,000 to 7,499",Master's degree,Data Analyst,"> 10,000 employees",Female,1
"5,000 to 7,499",Master's degree,Data Analyst,"1000-9,999 employees",Male,1
"5,000 to 7,499",Master's degree,Data Analyst,250-999 employees,Male,1
"5,000 to 7,499",Master's degree,Data Analyst,50-249 employees,Male,1
"5,000 to 7,499",Master's degree,Data Analyst,0-49 employees,Male,2
"5,000 to 7,499",Master's degree,Data Engineer,250-999 employees,Male,1
"5,000 to 7,499",Master's degree,DBA/Database Engineer,"> 10,000 employees",Male,1
"5,000 to 7,499",Master's degree,DBA/Database Engineer,"1000-9,999 employees",Male,1
"5,000 to 7,499",Master's degree,DBA/Database Engineer,0-49 employees,Male,1
"5,000 to 7,499",Master's degree,Software Engineer,"> 10,000 employees",Male,4
"5,000 to 7,499",Master's degree,Software Engineer,"> 10,000 employees",Female,2
"5,000 to 7,499",Master's degree,Software Engineer,"1000-9,999 employees",Male,2
"5,000 to 7,499",Master's degree,Software Engineer,250-999 employees,Male,3
"5,000 to 7,499",Master's degree,Software Engineer,50-249 employees,Male,5
"5,000 to 7,499",Master's degree,Software Engineer,0-49 employees,Male,2
"5,000 to 7,499",Master's degree,Software Engineer,0-49 employees,Female,1
"5,000 to 7,499",Master's degree,Other,"> 10,000 employees",Male,2
"5,000 to 7,499",Master's degree,Other,"> 10,000 employees",Female,1
"5,000 to 7,499",Master's degree,Other,250-999 employees,Female,2
"5,000 to 7,499",Master's degree,Other,50-249 employees,Male,2
"5,000 to 7,499",Master's degree,Other,0-49 employees,Male,1
"5,000 to 7,499",Bachelor's degree,Research Scientist,"> 10,000 employees",Not Mentioned,1
"5,000 to 7,499",Bachelor's degree,Research Scientist,0-49 employees,Male,1
"5,000 to 7,499",Bachelor's degree,Data Scientist,"> 10,000 employees",Male,8
"5,000 to 7,499",Bachelor's degree,Data Scientist,"1000-9,999 employees",Male,1
"5,000 to 7,499",Bachelor's degree,Data Scientist,"1000-9,999 employees",Female,2
"5,000 to 7,499",Bachelor's degree,Data Scientist,250-999 employees,Male,1
"5,000 to 7,499",Bachelor's degree,Data Scientist,50-249 employees,Male,2
"5,000 to 7,499",Bachelor's degree,Data Scientist,0-49 employees,Male,9
"5,000 to 7,499",Bachelor's degree,Business Analyst,"> 10,000 employees",Male,3
"5,000 to 7,499",Bachelor's degree,Business Analyst,"1000-9,999 employees",Male,1
"5,000 to 7,499",Bachelor's degree,Business Analyst,"1000-9,999 employees",Female,1
"5,000 to 7,499",Bachelor's degree,Business Analyst,250-999 employees,Male,1
"5,000 to 7,499",Bachelor's degree,Business Analyst,0-49 employees,Male,2
"5,000 to 7,499",Bachelor's degree,Statistician,"> 10,000 employees",Male,2
"5,000 to 7,499",Bachelor's degree,Data Analyst,"> 10,000 employees",Male,7
"5,000 to 7,499",Bachelor's degree,Data Analyst,"> 10,000 employees",Female,1
"5,000 to 7,499",Bachelor's degree,Data Analyst,"1000-9,999 employees",Male,1
"5,000 to 7,499",Bachelor's degree,Data Analyst,250-999 employees,Male,1
"5,000 to 7,499",Bachelor's degree,Data Analyst,50-249 employees,Male,4
"5,000 to 7,499",Bachelor's degree,Data Analyst,50-249 employees,Female,1
"5,000 to 7,499",Bachelor's degree,Data Analyst,0-49 employees,Male,5
"5,000 to 7,499",Bachelor's degree,Data Engineer,"> 10,000 employees",Male,1
"5,000 to 7,499",Bachelor's degree,Data Engineer,"> 10,000 employees",Female,2
"5,000 to 7,499",Bachelor's degree,Data Engineer,"1000-9,999 employees",Male,1
"5,000 to 7,499",Bachelor's degree,Data Engineer,250-999 employees,Male,2
"5,000 to 7,499",Bachelor's degree,Data Engineer,50-249 employees,Male,1
"5,000 to 7,499",Bachelor's degree,Data Engineer,0-49 employees,Male,1
"5,000 to 7,499",Bachelor's degree,DBA/Database Engineer,"> 10,000 employees",Male,2
"5,000 to 7,499",Bachelor's degree,DBA/Database Engineer,0-49 employees,Male,1
"5,000 to 7,499",Bachelor's degree,Software Engineer,"> 10,000 employees",Male,35
"5,000 to 7,499",Bachelor's degree,Software Engineer,"> 10,000 employees",Female,4
"5,000 to 7,499",Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,3
"5,000 to 7,499",Bachelor's degree,Software Engineer,"1000-9,999 employees",Female,1
"5,000 to 7,499",Bachelor's degree,Software Engineer,250-999 employees,Male,5
"5,000 to 7,499",Bachelor's degree,Software Engineer,50-249 employees,Male,9
"5,000 to 7,499",Bachelor's degree,Software Engineer,0-49 employees,Male,3
"5,000 to 7,499",Bachelor's degree,Other,"> 10,000 employees",Male,6
"5,000 to 7,499",Bachelor's degree,Other,"1000-9,999 employees",Male,4
"5,000 to 7,499",Bachelor's degree,Other,"1000-9,999 employees",Female,1
"5,000 to 7,499",Bachelor's degree,Other,250-999 employees,Male,1
"5,000 to 7,499",Bachelor's degree,Other,50-249 employees,Male,5
"5,000 to 7,499",Bachelor's degree,Other,0-49 employees,Male,2
"5,000 to 7,499",Professional degree,Data Scientist,250-999 employees,Female,1
"5,000 to 7,499",Professional degree,Software Engineer,"> 10,000 employees",Male,1
"5,000 to 7,499",Professional degree,Software Engineer,"> 10,000 employees",Female,1
"5,000 to 7,499",Professional degree,Other,"> 10,000 employees",Male,1
"5,000 to 7,499",Professional degree,Other,"> 10,000 employees",Female,1
"5,000 to 7,499",Professional degree,Other,0-49 employees,Male,1
"5,000 to 7,499",Some college/university,Data Scientist,0-49 employees,Not Mentioned,1
"5,000 to 7,499",High School,Data Analyst,250-999 employees,Male,1
"5,000 to 7,499",High School,Software Engineer,0-49 employees,Male,1
"5,000 to 7,499",I prefer not to answer,Data Scientist,0-49 employees,Male,2
"5,000 to 7,499",I prefer not to answer,Business Analyst,0-49 employees,Male,1
"5,000 to 7,499",I prefer not to answer,Data Analyst,"> 10,000 employees",Male,1
"4,000 to 4,999",Doctoral degree,Research Scientist,250-999 employees,Male,1
"4,000 to 4,999",Doctoral degree,Research Scientist,50-249 employees,Male,1
"4,000 to 4,999",Doctoral degree,Statistician,"1000-9,999 employees",Male,1
"4,000 to 4,999",Doctoral degree,Data Engineer,0-49 employees,Female,1
"4,000 to 4,999",Doctoral degree,Other,"1000-9,999 employees",Male,1
"4,000 to 4,999",Master's degree,Research Scientist,"1000-9,999 employees",Male,1
"4,000 to 4,999",Master's degree,Research Scientist,50-249 employees,Male,1
"4,000 to 4,999",Master's degree,Data Scientist,"> 10,000 employees",Male,3
"4,000 to 4,999",Master's degree,Data Scientist,"> 10,000 employees",Female,1
"4,000 to 4,999",Master's degree,Data Scientist,250-999 employees,Male,1
"4,000 to 4,999",Master's degree,Data Scientist,50-249 employees,Male,2
"4,000 to 4,999",Master's degree,Data Scientist,0-49 employees,Male,4
"4,000 to 4,999",Master's degree,Data Scientist,0-49 employees,Female,1
"4,000 to 4,999",Master's degree,Product/Project Manager,"> 10,000 employees",Female,1
"4,000 to 4,999",Master's degree,Product/Project Manager,0-49 employees,Male,1
"4,000 to 4,999",Master's degree,Business Analyst,"> 10,000 employees",Male,1
"4,000 to 4,999",Master's degree,Business Analyst,250-999 employees,Female,1
"4,000 to 4,999",Master's degree,Business Analyst,50-249 employees,Female,1
"4,000 to 4,999",Master's degree,Statistician,250-999 employees,Male,1
"4,000 to 4,999",Master's degree,Data Analyst,"> 10,000 employees",Male,2
"4,000 to 4,999",Master's degree,Data Analyst,250-999 employees,Male,1
"4,000 to 4,999",Master's degree,Data Analyst,250-999 employees,Female,1
"4,000 to 4,999",Master's degree,Data Analyst,0-49 employees,Male,2
"4,000 to 4,999",Master's degree,Data Analyst,0-49 employees,Female,1
"4,000 to 4,999",Master's degree,Data Engineer,"> 10,000 employees",Male,3
"4,000 to 4,999",Master's degree,Data Engineer,"> 10,000 employees",Female,1
"4,000 to 4,999",Master's degree,Software Engineer,"> 10,000 employees",Male,4
"4,000 to 4,999",Master's degree,Software Engineer,250-999 employees,Female,1
"4,000 to 4,999",Master's degree,Software Engineer,0-49 employees,Male,3
"4,000 to 4,999",Master's degree,Other,"> 10,000 employees",Male,1
"4,000 to 4,999",Master's degree,Other,"> 10,000 employees",Female,2
"4,000 to 4,999",Master's degree,Other,250-999 employees,Male,2
"4,000 to 4,999",Master's degree,Other,50-249 employees,Male,1
"4,000 to 4,999",Master's degree,Other,0-49 employees,Male,2
"4,000 to 4,999",Bachelor's degree,Data Scientist,"> 10,000 employees",Male,3
"4,000 to 4,999",Bachelor's degree,Data Scientist,"1000-9,999 employees",Male,3
"4,000 to 4,999",Bachelor's degree,Data Scientist,250-999 employees,Male,1
"4,000 to 4,999",Bachelor's degree,Data Scientist,50-249 employees,Male,1
"4,000 to 4,999",Bachelor's degree,Business Analyst,"> 10,000 employees",Male,1
"4,000 to 4,999",Bachelor's degree,Data Analyst,"> 10,000 employees",Male,3
"4,000 to 4,999",Bachelor's degree,Data Analyst,"1000-9,999 employees",Male,3
"4,000 to 4,999",Bachelor's degree,Data Analyst,250-999 employees,Male,1
"4,000 to 4,999",Bachelor's degree,Data Analyst,0-49 employees,Male,1
"4,000 to 4,999",Bachelor's degree,Data Engineer,"> 10,000 employees",Male,1
"4,000 to 4,999",Bachelor's degree,Data Engineer,"1000-9,999 employees",Male,1
"4,000 to 4,999",Bachelor's degree,Data Engineer,250-999 employees,Male,2
"4,000 to 4,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Male,13
"4,000 to 4,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Female,4
"4,000 to 4,999",Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,6
"4,000 to 4,999",Bachelor's degree,Software Engineer,"1000-9,999 employees",Female,2
"4,000 to 4,999",Bachelor's degree,Software Engineer,250-999 employees,Male,2
"4,000 to 4,999",Bachelor's degree,Software Engineer,250-999 employees,Female,1
"4,000 to 4,999",Bachelor's degree,Software Engineer,50-249 employees,Male,3
"4,000 to 4,999",Bachelor's degree,Software Engineer,0-49 employees,Male,4
"4,000 to 4,999",Bachelor's degree,Other,"> 10,000 employees",Male,5
"4,000 to 4,999",Bachelor's degree,Other,"1000-9,999 employees",Female,1
"4,000 to 4,999",Bachelor's degree,Other,250-999 employees,Male,1
"4,000 to 4,999",Bachelor's degree,Other,0-49 employees,Male,2
"4,000 to 4,999",Bachelor's degree,Other,0-49 employees,Female,1
"4,000 to 4,999",Professional degree,Data Scientist,"1000-9,999 employees",Female,1
"4,000 to 4,999",Professional degree,Business Analyst,"> 10,000 employees",Male,1
"4,000 to 4,999",Professional degree,Data Analyst,250-999 employees,Male,1
"4,000 to 4,999",Professional degree,Software Engineer,"> 10,000 employees",Female,1
"4,000 to 4,999",Some college/university,DBA/Database Engineer,250-999 employees,Male,1
"4,000 to 4,999",Some college/university,Software Engineer,50-249 employees,Not Mentioned,1
"4,000 to 4,999",Some college/university,Other,250-999 employees,Male,1
"4,000 to 4,999",High School,Product/Project Manager,50-249 employees,Male,1
"4,000 to 4,999",High School,Software Engineer,50-249 employees,Male,1
"4,000 to 4,999",I prefer not to answer,Software Engineer,"> 10,000 employees",Male,1
"4,000 to 4,999",I prefer not to answer,Software Engineer,250-999 employees,Male,1
"3,000 to 3,999",Doctoral degree,Research Scientist,"1000-9,999 employees",Male,1
"3,000 to 3,999",Doctoral degree,Research Scientist,250-999 employees,Male,1
"3,000 to 3,999",Doctoral degree,Research Scientist,50-249 employees,Male,1
"3,000 to 3,999",Doctoral degree,Research Scientist,0-49 employees,Not Mentioned,1
"3,000 to 3,999",Doctoral degree,Data Scientist,250-999 employees,Male,1
"3,000 to 3,999",Doctoral degree,Data Scientist,50-249 employees,Male,1
"3,000 to 3,999",Doctoral degree,Other,50-249 employees,Female,2
"3,000 to 3,999",Master's degree,Research Scientist,250-999 employees,Not Mentioned,1
"3,000 to 3,999",Master's degree,Data Scientist,"> 10,000 employees",Female,1
"3,000 to 3,999",Master's degree,Data Scientist,250-999 employees,Female,1
"3,000 to 3,999",Master's degree,Data Scientist,50-249 employees,Female,1
"3,000 to 3,999",Master's degree,Data Scientist,0-49 employees,Male,2
"3,000 to 3,999",Master's degree,Product/Project Manager,"> 10,000 employees",Male,2
"3,000 to 3,999",Master's degree,Product/Project Manager,"> 10,000 employees",Female,1
"3,000 to 3,999",Master's degree,Business Analyst,"> 10,000 employees",Male,1
"3,000 to 3,999",Master's degree,Business Analyst,"> 10,000 employees",Female,1
"3,000 to 3,999",Master's degree,Business Analyst,0-49 employees,Male,2
"3,000 to 3,999",Master's degree,Data Analyst,"> 10,000 employees",Male,1
"3,000 to 3,999",Master's degree,Data Analyst,250-999 employees,Male,1
"3,000 to 3,999",Master's degree,Data Analyst,0-49 employees,Male,3
"3,000 to 3,999",Master's degree,Data Analyst,0-49 employees,Female,1
"3,000 to 3,999",Master's degree,DBA/Database Engineer,"1000-9,999 employees",Male,1
"3,000 to 3,999",Master's degree,DBA/Database Engineer,250-999 employees,Male,1
"3,000 to 3,999",Master's degree,Software Engineer,"> 10,000 employees",Male,2
"3,000 to 3,999",Master's degree,Software Engineer,"1000-9,999 employees",Male,1
"3,000 to 3,999",Master's degree,Software Engineer,50-249 employees,Male,2
"3,000 to 3,999",Master's degree,Software Engineer,0-49 employees,Male,1
"3,000 to 3,999",Master's degree,Other,"> 10,000 employees",Male,1
"3,000 to 3,999",Master's degree,Other,"1000-9,999 employees",Male,1
"3,000 to 3,999",Master's degree,Other,250-999 employees,Male,1
"3,000 to 3,999",Master's degree,Other,0-49 employees,Male,3
"3,000 to 3,999",Bachelor's degree,Research Scientist,0-49 employees,Male,1
"3,000 to 3,999",Bachelor's degree,Data Scientist,"> 10,000 employees",Male,1
"3,000 to 3,999",Bachelor's degree,Data Scientist,250-999 employees,Male,1
"3,000 to 3,999",Bachelor's degree,Data Scientist,0-49 employees,Male,1
"3,000 to 3,999",Bachelor's degree,Data Scientist,0-49 employees,Female,2
"3,000 to 3,999",Bachelor's degree,Product/Project Manager,"> 10,000 employees",Male,1
"3,000 to 3,999",Bachelor's degree,Business Analyst,"> 10,000 employees",Male,1
"3,000 to 3,999",Bachelor's degree,Business Analyst,"1000-9,999 employees",Female,1
"3,000 to 3,999",Bachelor's degree,Data Analyst,"> 10,000 employees",Male,1
"3,000 to 3,999",Bachelor's degree,Data Analyst,250-999 employees,Male,3
"3,000 to 3,999",Bachelor's degree,Data Analyst,50-249 employees,Male,1
"3,000 to 3,999",Bachelor's degree,Data Analyst,0-49 employees,Male,1
"3,000 to 3,999",Bachelor's degree,Data Engineer,"> 10,000 employees",Male,1
"3,000 to 3,999",Bachelor's degree,Data Engineer,250-999 employees,Male,1
"3,000 to 3,999",Bachelor's degree,Data Engineer,0-49 employees,Male,1
"3,000 to 3,999",Bachelor's degree,DBA/Database Engineer,0-49 employees,Male,1
"3,000 to 3,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Male,5
"3,000 to 3,999",Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,1
"3,000 to 3,999",Bachelor's degree,Software Engineer,250-999 employees,Male,1
"3,000 to 3,999",Bachelor's degree,Software Engineer,50-249 employees,Male,2
"3,000 to 3,999",Bachelor's degree,Software Engineer,0-49 employees,Male,2
"3,000 to 3,999",Bachelor's degree,Software Engineer,0-49 employees,Female,1
"3,000 to 3,999",Bachelor's degree,Other,"> 10,000 employees",Male,2
"3,000 to 3,999",Bachelor's degree,Other,"1000-9,999 employees",Male,1
"3,000 to 3,999",Bachelor's degree,Other,250-999 employees,Male,1
"3,000 to 3,999",Bachelor's degree,Other,0-49 employees,Male,1
"3,000 to 3,999",Professional degree,Data Analyst,50-249 employees,Male,1
"3,000 to 3,999",Some college/university,Product/Project Manager,0-49 employees,Male,1
"3,000 to 3,999",I prefer not to answer,Data Scientist,"> 10,000 employees",Male,1
"3,000 to 3,999",I prefer not to answer,Software Engineer,50-249 employees,Female,1
"3,000 to 3,999",I prefer not to answer,Other,50-249 employees,Male,1
"2,000 to 2,999",Doctoral degree,Research Scientist,"> 10,000 employees",Male,1
"2,000 to 2,999",Doctoral degree,Research Scientist,250-999 employees,Male,2
"2,000 to 2,999",Doctoral degree,Research Scientist,50-249 employees,Male,2
"2,000 to 2,999",Doctoral degree,Data Analyst,50-249 employees,Female,1
"2,000 to 2,999",Doctoral degree,Other,50-249 employees,Male,2
"2,000 to 2,999",Doctoral degree,Other,50-249 employees,Female,1
"2,000 to 2,999",Doctoral degree,Other,0-49 employees,Female,1
"2,000 to 2,999",Master's degree,Research Scientist,"> 10,000 employees",Male,1
"2,000 to 2,999",Master's degree,Data Scientist,"> 10,000 employees",Male,2
"2,000 to 2,999",Master's degree,Data Scientist,"> 10,000 employees",Female,1
"2,000 to 2,999",Master's degree,Data Scientist,"1000-9,999 employees",Male,2
"2,000 to 2,999",Master's degree,Data Scientist,50-249 employees,Male,2
"2,000 to 2,999",Master's degree,Data Scientist,0-49 employees,Male,6
"2,000 to 2,999",Master's degree,Data Scientist,0-49 employees,Female,1
"2,000 to 2,999",Master's degree,Product/Project Manager,"> 10,000 employees",Male,1
"2,000 to 2,999",Master's degree,Product/Project Manager,50-249 employees,Male,1
"2,000 to 2,999",Master's degree,Business Analyst,"> 10,000 employees",Male,1
"2,000 to 2,999",Master's degree,Business Analyst,250-999 employees,Male,1
"2,000 to 2,999",Master's degree,Business Analyst,50-249 employees,Female,1
"2,000 to 2,999",Master's degree,Data Analyst,"> 10,000 employees",Male,1
"2,000 to 2,999",Master's degree,Data Analyst,"1000-9,999 employees",Male,1
"2,000 to 2,999",Master's degree,Data Analyst,250-999 employees,Male,1
"2,000 to 2,999",Master's degree,Data Analyst,50-249 employees,Male,1
"2,000 to 2,999",Master's degree,Data Analyst,0-49 employees,Female,1
"2,000 to 2,999",Master's degree,Data Engineer,"> 10,000 employees",Male,1
"2,000 to 2,999",Master's degree,Data Engineer,250-999 employees,Female,1
"2,000 to 2,999",Master's degree,Data Engineer,50-249 employees,Male,1
"2,000 to 2,999",Master's degree,DBA/Database Engineer,"> 10,000 employees",Male,1
"2,000 to 2,999",Master's degree,DBA/Database Engineer,"1000-9,999 employees",Male,1
"2,000 to 2,999",Master's degree,Software Engineer,"> 10,000 employees",Male,1
"2,000 to 2,999",Master's degree,Software Engineer,"1000-9,999 employees",Male,1
"2,000 to 2,999",Master's degree,Software Engineer,250-999 employees,Female,1
"2,000 to 2,999",Master's degree,Software Engineer,50-249 employees,Male,2
"2,000 to 2,999",Master's degree,Software Engineer,50-249 employees,Female,1
"2,000 to 2,999",Master's degree,Software Engineer,0-49 employees,Male,1
"2,000 to 2,999",Master's degree,Other,"1000-9,999 employees",Male,1
"2,000 to 2,999",Master's degree,Other,250-999 employees,Male,1
"2,000 to 2,999",Master's degree,Other,0-49 employees,Male,3
"2,000 to 2,999",Bachelor's degree,Data Scientist,"> 10,000 employees",Female,1
"2,000 to 2,999",Bachelor's degree,Data Scientist,"1000-9,999 employees",Male,1
"2,000 to 2,999",Bachelor's degree,Data Scientist,50-249 employees,Male,1
"2,000 to 2,999",Bachelor's degree,Data Scientist,0-49 employees,Male,2
"2,000 to 2,999",Bachelor's degree,Business Analyst,250-999 employees,Male,1
"2,000 to 2,999",Bachelor's degree,Business Analyst,50-249 employees,Male,1
"2,000 to 2,999",Bachelor's degree,Data Analyst,"> 10,000 employees",Male,2
"2,000 to 2,999",Bachelor's degree,Data Analyst,250-999 employees,Female,1
"2,000 to 2,999",Bachelor's degree,Data Engineer,"1000-9,999 employees",Male,2
"2,000 to 2,999",Bachelor's degree,DBA/Database Engineer,50-249 employees,Male,1
"2,000 to 2,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Male,8
"2,000 to 2,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Female,2
"2,000 to 2,999",Bachelor's degree,Software Engineer,250-999 employees,Male,2
"2,000 to 2,999",Bachelor's degree,Software Engineer,250-999 employees,Female,1
"2,000 to 2,999",Bachelor's degree,Software Engineer,50-249 employees,Female,1
"2,000 to 2,999",Bachelor's degree,Software Engineer,0-49 employees,Male,3
"2,000 to 2,999",Bachelor's degree,Other,"1000-9,999 employees",Male,1
"2,000 to 2,999",Bachelor's degree,Other,250-999 employees,Male,2
"2,000 to 2,999",Bachelor's degree,Other,50-249 employees,Male,1
"2,000 to 2,999",Bachelor's degree,Other,0-49 employees,Male,3
"2,000 to 2,999",Professional degree,Data Scientist,"> 10,000 employees",Male,1
"2,000 to 2,999",Professional degree,Data Scientist,"1000-9,999 employees",Female,1
"2,000 to 2,999",Professional degree,Data Scientist,250-999 employees,Male,1
"2,000 to 2,999",Professional degree,Data Scientist,0-49 employees,Male,1
"2,000 to 2,999",Professional degree,Data Scientist,0-49 employees,Female,2
"2,000 to 2,999",Professional degree,Software Engineer,250-999 employees,Male,1
"2,000 to 2,999",Professional degree,Software Engineer,0-49 employees,Male,1
"2,000 to 2,999",Professional degree,Other,0-49 employees,Female,1
"2,000 to 2,999",Some college/university,Other,0-49 employees,Male,1
"2,000 to 2,999",High School,Software Engineer,0-49 employees,Male,1
"2,000 to 2,999",I prefer not to answer,Data Analyst,"1000-9,999 employees",Male,1
"2,000 to 2,999",I prefer not to answer,Software Engineer,"> 10,000 employees",Male,1
"2,000 to 2,999",I prefer not to answer,Software Engineer,0-49 employees,Male,1
"1,000 to 1,999",Doctoral degree,Research Scientist,"1000-9,999 employees",Male,1
"1,000 to 1,999",Doctoral degree,Research Scientist,"1000-9,999 employees",Female,1
"1,000 to 1,999",Doctoral degree,Research Scientist,50-249 employees,Female,1
"1,000 to 1,999",Doctoral degree,Data Scientist,"> 10,000 employees",Not Mentioned,1
"1,000 to 1,999",Doctoral degree,Data Analyst,0-49 employees,Female,1
"1,000 to 1,999",Doctoral degree,Software Engineer,250-999 employees,Female,1
"1,000 to 1,999",Doctoral degree,Other,250-999 employees,Female,3
"1,000 to 1,999",Master's degree,Research Scientist,"> 10,000 employees",Male,1
"1,000 to 1,999",Master's degree,Research Scientist,250-999 employees,Male,1
"1,000 to 1,999",Master's degree,Research Scientist,0-49 employees,Male,3
"1,000 to 1,999",Master's degree,Research Scientist,0-49 employees,Female,2
"1,000 to 1,999",Master's degree,Data Scientist,"> 10,000 employees",Male,4
"1,000 to 1,999",Master's degree,Data Scientist,"1000-9,999 employees",Male,4
"1,000 to 1,999",Master's degree,Data Scientist,250-999 employees,Male,2
"1,000 to 1,999",Master's degree,Data Scientist,250-999 employees,Female,1
"1,000 to 1,999",Master's degree,Data Scientist,50-249 employees,Male,4
"1,000 to 1,999",Master's degree,Data Scientist,0-49 employees,Male,5
"1,000 to 1,999",Master's degree,Product/Project Manager,50-249 employees,Male,1
"1,000 to 1,999",Master's degree,Product/Project Manager,0-49 employees,Male,1
"1,000 to 1,999",Master's degree,Business Analyst,"1000-9,999 employees",Male,2
"1,000 to 1,999",Master's degree,Business Analyst,"1000-9,999 employees",Female,1
"1,000 to 1,999",Master's degree,Business Analyst,250-999 employees,Male,2
"1,000 to 1,999",Master's degree,Business Analyst,250-999 employees,Female,1
"1,000 to 1,999",Master's degree,Business Analyst,50-249 employees,Male,2
"1,000 to 1,999",Master's degree,Business Analyst,50-249 employees,Female,1
"1,000 to 1,999",Master's degree,Business Analyst,0-49 employees,Male,1
"1,000 to 1,999",Master's degree,Business Analyst,0-49 employees,Female,1
"1,000 to 1,999",Master's degree,Statistician,250-999 employees,Male,1
"1,000 to 1,999",Master's degree,Statistician,50-249 employees,Male,1
"1,000 to 1,999",Master's degree,Data Analyst,"> 10,000 employees",Male,3
"1,000 to 1,999",Master's degree,Data Analyst,"> 10,000 employees",Female,1
"1,000 to 1,999",Master's degree,Data Analyst,"1000-9,999 employees",Male,1
"1,000 to 1,999",Master's degree,Data Analyst,250-999 employees,Male,1
"1,000 to 1,999",Master's degree,Data Analyst,250-999 employees,Female,1
"1,000 to 1,999",Master's degree,Data Analyst,50-249 employees,Male,5
"1,000 to 1,999",Master's degree,Data Analyst,0-49 employees,Male,4
"1,000 to 1,999",Master's degree,Data Analyst,0-49 employees,Female,1
"1,000 to 1,999",Master's degree,Data Engineer,50-249 employees,Male,1
"1,000 to 1,999",Master's degree,Data Engineer,0-49 employees,Male,1
"1,000 to 1,999",Master's degree,Software Engineer,"> 10,000 employees",Male,3
"1,000 to 1,999",Master's degree,Software Engineer,"> 10,000 employees",Female,1
"1,000 to 1,999",Master's degree,Software Engineer,"1000-9,999 employees",Male,2
"1,000 to 1,999",Master's degree,Software Engineer,250-999 employees,Male,1
"1,000 to 1,999",Master's degree,Software Engineer,0-49 employees,Male,5
"1,000 to 1,999",Master's degree,Other,"> 10,000 employees",Male,5
"1,000 to 1,999",Master's degree,Other,"1000-9,999 employees",Male,2
"1,000 to 1,999",Master's degree,Other,250-999 employees,Male,2
"1,000 to 1,999",Master's degree,Other,50-249 employees,Male,1
"1,000 to 1,999",Master's degree,Other,50-249 employees,Female,1
"1,000 to 1,999",Bachelor's degree,Data Scientist,"> 10,000 employees",Male,3
"1,000 to 1,999",Bachelor's degree,Data Scientist,"1000-9,999 employees",Male,2
"1,000 to 1,999",Bachelor's degree,Data Scientist,250-999 employees,Female,1
"1,000 to 1,999",Bachelor's degree,Data Scientist,50-249 employees,Male,1
"1,000 to 1,999",Bachelor's degree,Data Scientist,0-49 employees,Male,4
"1,000 to 1,999",Bachelor's degree,Data Scientist,0-49 employees,Female,1
"1,000 to 1,999",Bachelor's degree,Data Scientist,0-49 employees,Not Mentioned,1
"1,000 to 1,999",Bachelor's degree,Product/Project Manager,0-49 employees,Male,1
"1,000 to 1,999",Bachelor's degree,Business Analyst,"> 10,000 employees",Male,1
"1,000 to 1,999",Bachelor's degree,Business Analyst,50-249 employees,Male,2
"1,000 to 1,999",Bachelor's degree,Business Analyst,0-49 employees,Male,1
"1,000 to 1,999",Bachelor's degree,Data Analyst,"> 10,000 employees",Male,5
"1,000 to 1,999",Bachelor's degree,Data Analyst,"> 10,000 employees",Female,1
"1,000 to 1,999",Bachelor's degree,Data Analyst,"1000-9,999 employees",Female,3
"1,000 to 1,999",Bachelor's degree,Data Analyst,250-999 employees,Male,2
"1,000 to 1,999",Bachelor's degree,Data Analyst,50-249 employees,Male,1
"1,000 to 1,999",Bachelor's degree,Data Analyst,50-249 employees,Female,1
"1,000 to 1,999",Bachelor's degree,Data Analyst,0-49 employees,Male,3
"1,000 to 1,999",Bachelor's degree,Data Engineer,"> 10,000 employees",Male,1
"1,000 to 1,999",Bachelor's degree,Data Engineer,"1000-9,999 employees",Male,1
"1,000 to 1,999",Bachelor's degree,Data Engineer,50-249 employees,Male,1
"1,000 to 1,999",Bachelor's degree,DBA/Database Engineer,"> 10,000 employees",Male,1
"1,000 to 1,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Male,5
"1,000 to 1,999",Bachelor's degree,Software Engineer,"> 10,000 employees",Female,4
"1,000 to 1,999",Bachelor's degree,Software Engineer,"1000-9,999 employees",Male,1
"1,000 to 1,999",Bachelor's degree,Software Engineer,250-999 employees,Male,2
"1,000 to 1,999",Bachelor's degree,Software Engineer,50-249 employees,Male,1
"1,000 to 1,999",Bachelor's degree,Software Engineer,0-49 employees,Male,4
"1,000 to 1,999",Bachelor's degree,Other,"> 10,000 employees",Male,1
"1,000 to 1,999",Bachelor's degree,Other,250-999 employees,Male,1
"1,000 to 1,999",Bachelor's degree,Other,0-49 employees,Male,2
"1,000 to 1,999",Professional degree,Software Engineer,"> 10,000 employees",Male,2
